Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2015","2015","t","612000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2016","2016","t","532200","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2017","2017","t","505100","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2018","2018","t","525500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2019","2019","t","570900","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2020","2020","t","655400","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2021","2021","t","622300","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2022","2022","t","592000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2010","2010","t","4532000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2011","2011","t","3388000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2012","2012","t","5050000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2013","2013","t","5169235","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2014","2014","t","5370259","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2015","2015","t","4673040","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2016","2016","t","4555110","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2017","2017","t","4280776","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2018","2018","t","3613300","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2019","2019","t","4890000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2020","2020","t","5185000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2021","2021","t","4017657","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2022","2022","t","3810000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2010","2010","t","7300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2011","2011","t","8700","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2012","2012","t","7000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2013","2013","t","6970","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2014","2014","t","7300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2015","2015","t","7000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2016","2016","t","9000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2017","2017","t","9035","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2018","2018","t","9655","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2019","2019","t","7942","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2020","2020","t","12645","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2021","2021","t","15310","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2022","2022","t","19014","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2010","2010","t","362000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2011","2011","t","366400","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2012","2012","t","360000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2013","2013","t","372000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2014","2014","t","380000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2015","2015","t","380000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2016","2016","t","379714","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2017","2017","t","381059","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2018","2018","t","391104","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2019","2019","t","388951","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2020","2020","t","399125","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2021","2021","t","414270.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2022","2022","t","401419","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2010","2010","t","27300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2011","2011","t","29900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2012","2012","t","27000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2013","2013","t","27000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2014","2014","t","30000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2015","2015","t","30000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2016","2016","t","32003","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2017","2017","t","34068","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2018","2018","t","34893","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2019","2019","t","33382","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2020","2020","t","35579","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2021","2021","t","33082","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2022","2022","t","34157","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2010","2010","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2011","2011","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2012","2012","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2013","2013","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2014","2014","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2015","2015","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2016","2016","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2017","2017","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2018","2018","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2019","2019","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2020","2020","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0113","Rice","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2010","2010","t","2300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2011","2011","t","3400","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2012","2012","t","3400","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2013","2013","t","2900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2014","2014","t","3070","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2015","2015","t","3000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2016","2016","t","2713","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2017","2017","t","2695","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2018","2018","t","2250","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2019","2019","t","2572","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2020","2020","t","3244","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2021","2021","t","3293","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2022","2022","t","3115","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2010","2010","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2011","2011","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2012","2012","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2013","2013","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2014","2014","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2015","2015","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2016","2016","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2017","2017","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2018","2018","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2019","2019","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2020","2020","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0114","Sorghum","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2010","2010","t","294900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2011","2011","t","292800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2012","2012","t","300000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2013","2013","t","294000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2014","2014","t","280000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2015","2015","t","275000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2016","2016","t","275000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2017","2017","t","274877","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2018","2018","t","240294","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2019","2019","t","233218","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2020","2020","t","233430","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2021","2021","t","225170.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2022","2022","t","233145","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2010","2010","t","1503900","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2011","2011","t","1258080","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2012","2012","t","1591715","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2013","2013","t","1498639","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2014","2014","t","939401","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2015","2015","t","1030556","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2016","2016","t","919907","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2017","2017","t","969696","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2018","2018","t","1957327.07","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2019","2019","t","1647746","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2020","2020","t","1213137","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2021","2021","t","555364","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2022","2022","t","1600000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2010","2010","t","359","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2011","2011","t","575","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2012","2012","t","1755","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2013","2013","t","1245","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2014","2014","t","2572","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2015","2015","t","2794","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2016","2016","t","3686.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2017","2017","t","2634","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2018","2018","t","5512","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2019","2019","t","6368","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2020","2020","t","3221","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2021","2021","t","18491","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0112","Maize (corn)","2022","2022","t","11371.32","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2010","2010","t","101500","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2011","2011","t","76730","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2012","2012","t","109703","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2013","2013","t","113286","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2014","2014","t","56580","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2015","2015","t","68203","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2016","2016","t","72121","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2017","2017","t","64018","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2018","2018","t","118017.76","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2019","2019","t","101305","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2020","2020","t","69385","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2021","2021","t","40461","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0117","Oats","2022","2022","t","105000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2010","2010","t","311.54","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2011","2011","t","320.01","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2012","2012","t","300","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2013","2013","t","320","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2014","2014","t","320","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2015","2015","t","280.6","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2016","2016","t","306.87","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2017","2017","t","316.14","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2018","2018","t","301.2","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2019","2019","t","308.07","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2020","2020","t","308.47","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2021","2021","t","305.92","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0113","Rice","2022","2022","t","307.49","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2010","2010","t","106","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2011","2011","t","940","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2012","2012","t","1751","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2013","2013","t","12","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2014","2014","t","465","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2015","2015","t","2665","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2016","2016","t","8958","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2017","2017","t","4973","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2018","2018","t","3621.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2019","2019","t","927","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2020","2020","t","256","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2021","2021","t","386","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0114","Sorghum","2022","2022","t","965.04","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2010","2010","t","2605178","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2011","2011","t","2910890","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2012","2012","t","3432231","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2013","2013","t","3299049","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2014","2014","t","2436197","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2015","2015","t","2656731","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2016","2016","t","2440097","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2017","2017","t","2436503","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2018","2018","t","3981219.15","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2019","2019","t","3876876","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2020","2020","t","3106754","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2021","2021","t","2168386","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2022","2022","t","3000000","X","Figure from international organizations","Unofficial figure"
